Two-Letter Station Code,Station Name
RM,Richmond
EN,El Cerrito del Norte
EP,El Cerrito Plaza
NB,North Berkeley
BK,Downtown Berkeley
AS,Ashby
MA,MacArthur
19,19th Street
12,12th Street
LM,Lake Merritt
FV,Fruitvale
CL,Coliseum
SL,San Leandro
BF,Bay Fair
HY,Hayward
SH,South Hayward
UC,Union City
FM,Fremont
CN,Concord
PH,Pleasant Hill
WC,Walnut Creek
LF,Lafayette
OR,Orinda
RR,Rockridge
OW,West Oakland
EM,Embarcadero
MT,Montgomery Street
PL,Powell Street
CC,Civic Center
16,16th Street Mission
24,24th Street Mission
GP,Glen Park
BP,Balboa Park
DC,Daly City
CM,Colma
CV,Castro Valley
ED,Dublin
NC,North Concord
WP,Pittsburg
SS,South San Francisco
SB,San Bruno
SO,SFO
MB,Millbrae
WD,West Dublin
OA,OAK
WS,Warm Springs
AN,Antioch
PC,Pittsburg Center
ML,Milpitas
BE,Berryessa
